source_segment,country,state_province,city,facility_type,refinery_name_raw,refinery_name_clean,company_raw,company_clean,site_id,latitude,longitude,capacity_bpd_raw,capacity_m3_day_raw,peak_capacity_bpd,approx_nelson_complexity_proxy,complexity_confidence,status_raw,link_raw,flags,cat_cracking_fresh_feed_bpd,cat_cracking_recycled_feed_bpd,cat_hydrocracking_distillate_bpd,cat_hydrocracking_gas_oil_bpd,cat_hydrocracking_residual_bpd,cat_reforming_high_pressure_bpd,cat_reforming_low_pressure_bpd,vacuum_distillation_bpd,thermal_cracking_delayed_coking_bpd,thermal_cracking_fluid_coking_bpd,thermal_cracking_visbreaking_bpd,thermal_cracking_other_bpd,alkylates_bpd,isomerization_isobutane_bpd,isomerization_isopentane_isohexane_bpd,isomerization_isooctane_bpd,desulfurization_diesel_bpd,desulfurization_naphtha_reformer_feed_bpd,desulfurization_gasoline_bpd,desulfurization_heavy_gas_oil_bpd,desulfurization_kerosene_jet_bpd,desulfurization_other_distillate_bpd,desulfurization_other_bpd,desulfurization_residual_bpd,fuels_solvent_deasphalting_bpd,asphalt_road_oil_bpd,aromatics_bpd,lubricants_bpd,petcoke_market_bpd,hydrogen_mmcfd,sulfur_short_tons_per_day
us_eia_epa_join,United States,Texas,TEXAS CITY,Refinery,BP PRODUCTS NORTH AMERICA INC,bp-products-north-america-inc,BP PLC,bp-plc,united-states|texas|bp-products-north-america-inc,29.383915,-94.934941,400780.0,,400780.0,,,,,us_structured_segment|missing_us_unit_detail|major_refinery|missing_link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us_eia_epa_join,United States,Texas,Galena Park,Refinery,KINDER MORGAN CRUDE & CONDENSATE,kinder-morgan-crude-condensate,KINDER MORGAN ENERGY PTNRS LP,kinder-morgan-energy-ptnrs-lp,united-states|texas|kinder-morgan-crude-condensate,29.732728,-95.219892,84000.0,,100000.0,,,,,us_structured_segment|missing_us_unit_detail|major_refinery|missing_link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
north_america_manual_list,Mexico,Ciudad Madero,,Refinery,Ciudad Madero Refinery,ciudad-madero-refinery,Pemex,pemex,mexico|ciudad-madero|ciudad-madero-refinery,22.280655,-97.810621,152000.0,,152000.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Mexico,Guanajuato,,Refinery,Salamanca Refinery,salamanca-refinery,Pemex,pemex,mexico|guanajuato|salamanca-refinery,20.580329,-101.180159,207000.0,,207000.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Mexico,Hidalgo,,Refinery,Tula Refinery,tula-refinery,Pemex,pemex,mexico|hidalgo|tula-refinery,20.044141,-99.277164,340000.0,,340000.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Mexico,Minatitlan,,Refinery,Minatitlan Refinery,minatitlan-refinery,Pemex,pemex,mexico|minatitlan|minatitlan-refinery,17.980341,-94.528945,167000.0,,167000.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Mexico,Nuevo León,,Refinery,Cadereyta Refinery,cadereyta-refinery,Pemex,pemex,mexico|nuevo-le-n|cadereyta-refinery,25.595916,-99.937898,246000.0,,246000.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Mexico,Salina Cruz,,Refinery,Salina Cruz Refinery,salina-cruz-refinery,Pemex,pemex,mexico|salina-cruz|salina-cruz-refinery,16.167172,-95.20207,258500.0,,258500.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Alberta,Fort McMurray,Refinery,Oil Sands Contacts,oil-sands-contacts,Suncor Energy Inc,suncor-energy-inc,canada|alberta|oil-sands-contacts,56.669238,-111.252537,428000.0,,428000.0,,,,http://www.suncor.com/en/independent/320.aspx,north_america_thin_segment|non_refinery_or_upgrader_like|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Alberta,Fort McMurray,Refinery,Fort McMurray,fort-mcmurray,Syncrude,syncrude,canada|alberta|fort-mcmurray,56.726389,-111.380278,407000.0,,407000.0,,,,,north_america_thin_segment|major_refinery|missing_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north_america_manual_list,Canada,Nova Scotia,,Refinery,Irving Oil Refinery,irving-oil-refinery,Irving,irving,canada|nova-scotia|irving-oil-refinery,45.278889,-66.0125,300000.0,,300000.0,,,,http://tools.wmflabs.org/geohack/geohack.php?pagename=Irving_Oil_Refinery&params=45_16_44_N_66_0_45_W_type:landmark_region:CA,north_america_thin_segment|major_refinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
